alias,first_author,group,group_start,number_authors,sdi,times_cited,journal,pub_year,velocity,grant_product,Unknown,BIOLOGY,MATHEMATICAL & COMPUTATIONAL BIOLOGY,STATISTICS & PROBABILITY,"ENGINEERING, ELECTRICAL & ELECTRONIC","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ROBOTICS,TELECOMMUNICATIONS,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",AUTOMATION & CONTROL SYSTEMS,MULTIDISCIPLINARY SCIENCES,PHARMACOLOGY & PHARMACY,CELL BIOLOGY,"COMPUTER SCIENCE, CYBERNETICS",NEUROSCIENCES,MATHEMATICS,ENVIRONMENTAL STUDIES,PLANNING & DEVELOPMENT,HISTORY,LAW,ENERGY & FUELS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,POLITICAL SCIENCE,OBSTETRICS & GYNECOLOGY,REPRODUCTIVE BIOLOGY,ETHICS,MEDICAL ETHICS,SOCIAL ISSUES,"SOCIAL SCIENCES, BIOMEDICAL",INTERNATIONAL RELATIONS,ENVIRONMENTAL SCIENCES,REHABILITATION,"SOCIAL SCIENCES, INTERDISCIPLINARY",PUBLIC ADMINISTRATION,MANAGEMENT,"ENGINEERING, ENVIRONMENTAL",METEOROLOGY & ATMOSPHERIC SCIENCES,ECONOMICS,THERMODYNAMICS,SOCIOLOGY,"PHYSICS, APPLIED","MATERIALS SCIENCE, MULTIDISCIPLINARY",NANOSCIENCE & NANOTECHNOLOGY,CRYSTALLOGRAPHY,"PHYSICS, CONDENSED MATTER","CHEMISTRY, MULTIDISCIPLINARY",OPTICS,INSTRUMENTS & INSTRUMENTATION,BIOCHEMISTRY & MOLECULAR BIOLOGY,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","COMPUTER SCIENCE, INFORMATION SYSTEMS","COMPUTER SCIENCE, THEORY & METHODS","EDUCATION, SCIENTIFIC DISCIPLINES","PHYSICS, MULTIDISCIPLINARY","CHEMISTRY, PHYSICAL",POLYMER SCIENCE,"CHEMISTRY, ORGANIC","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL","MEDICINE, RESEARCH & EXPERIMENTAL",BIOTECHNOLOGY & APPLIED MICROBIOLOGY,CELL & TISSUE ENGINEERING,HEMATOLOGY,ONCOLOGY,GENETICS & HEREDITY,TOXICOLOGY,BIOCHEMICAL RESEARCH METHODS,"CHEMISTRY, ANALYTICAL","MEDICINE, GENERAL & INTERNAL",ELECTROCHEMISTRY,SPECTROSCOPY,"GEOSCIENCES, MULTIDISCIPLINARY",AGRICULTURAL ENGINEERING,ASTRONOMY & ASTROPHYSICS,MARINE & FRESHWATER BIOLOGY,ECOLOGY,MICROBIOLOGY,OCEANOGRAPHY,"ENGINEERING, BIOMEDICAL","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",FISHERIES,PLANT SCIENCES,"ENGINEERING, CHEMICAL",BIOPHYSICS,DEVELOPMENTAL BIOLOGY,EVOLUTIONARY BIOLOGY,MYCOLOGY,RESPIRATORY SYSTEM,PHYSIOLOGY,SPORT SCIENCES,"ENGINEERING, MECHANICAL","MATERIALS SCIENCE, BIOMATERIALS","CHEMISTRY, MEDICINAL",PEDIATRICS,MECHANICS,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",TRANSPORTATION,GEOGRAPHY,"ENGINEERING, CIVIL",TRANSPORTATION SCIENCE & TECHNOLOGY,URBAN STUDIES,CONSTRUCTION & BUILDING TECHNOLOGY,OPHTHALMOLOGY,"PSYCHOLOGY, APPLIED","GEOGRAPHY, PHYSICAL",FORESTRY,BIODIVERSITY CONSERVATION,WATER RESOURCES,"PHYSICS, MATHEMATICAL","MATHEMATICS, APPLIED","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","PHYSICS, FLUIDS & PLASMAS",METALLURGY & METALLURGICAL ENGINEERING,"MATERIALS SCIENCE, COATINGS & FILMS",IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,REMOTE SENSING,AGRONOMY,LIMNOLOGY,"PSYCHOLOGY, MULTIDISCIPLINARY",ENDOCRINOLOGY & METABOLISM,"CHEMISTRY, INORGANIC & NUCLEAR","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SOCIAL SCIENCES, MATHEMATICAL METHODS",FAMILY STUDIES,HEALTH CARE SCIENCES & SERVICES,MEDICAL INFORMATICS,PSYCHOLOGY,"PSYCHOLOGY, SOCIAL",ERGONOMICS,AGRICULTURAL ECONOMICS & POLICY,"BUSINESS, FINANCE",BUSINESS,"DENTISTRY, ORAL SURGERY & MEDICINE",OPERATIONS RESEARCH & MANAGEMENT SCIENCE,"ENGINEERING, INDUSTRIAL","ENGINEERING, MULTIDISCIPLINARY","MATERIALS SCIENCE, CERAMICS",GEOCHEMISTRY & GEOPHYSICS,"AGRICULTURE, MULTIDISCIPLINARY",VETERINARY SCIENCES,GEOLOGY,ZOOLOGY,INDUSTRIAL RELATIONS & LABOR,"ENGINEERING, MANUFACTURING","MATERIALS SCIENCE, COMPOSITES",NUCLEAR SCIENCE & TECHNOLOGY,IMMUNOLOGY,ANATOMY & MORPHOLOGY,ACOUSTICS,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",PALEONTOLOGY,PATHOLOGY,ORTHOPEDICS,SURGERY,UROLOGY & NEPHROLOGY,CRITICAL CARE MEDICINE,EMERGENCY MEDICINE,DERMATOLOGY,NUTRITION & DIETETICS,INFECTIOUS DISEASES,RHEUMATOLOGY,FOOD SCIENCE & TECHNOLOGY,"CHEMISTRY, APPLIED",TROPICAL MEDICINE,PERIPHERAL VASCULAR DISEASE,CLINICAL NEUROLOGY,GASTROENTEROLOGY & HEPATOLOGY,ANESTHESIOLOGY,SOIL SCIENCE,"MATERIALS SCIENCE, TEXTILES",NEUROIMAGING,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",ALLERGY,"EDUCATION, SPECIAL","PSYCHOLOGY, DEVELOPMENTAL",EDUCATION & EDUCATIONAL RESEARCH,"PSYCHOLOGY, EDUCATIONAL","HUMANITIES, MULTIDISCIPLINARY",MINERALOGY,GERIATRICS & GERONTOLOGY,TRANSPLANTATION,AREA STUDIES,"ENGINEERING, AEROSPACE",MEDICAL LABORATORY TECHNOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS,"PSYCHOLOGY, CLINICAL",MICROSCOPY,"HOSPITALITY, LEISURE, SPORT & TOURISM","PSYCHOLOGY, MATHEMATICAL",HISTORY & PHILOSOPHY OF SCIENCE,PHILOSOPHY,HEALTH POLICY & SERVICES,NURSING,PSYCHIATRY,SUBSTANCE ABUSE,GERONTOLOGY,DEMOGRAPHY,SOCIAL WORK,WOMENS STUDIES,BEHAVIORAL SCIENCES,CULTURAL STUDIES,"MATERIALS SCIENCE, PAPER & WOOD",COMMUNICATION,ENTOMOLOGY,OTORHINOLARYNGOLOGY,"PHYSICS, NUCLEAR","PHYSICS, PARTICLES & FIELDS",ANDROLOGY,"ENGINEERING, OCEAN",ANTHROPOLOGY,ARCHAEOLOGY,HORTICULTURE,"PSYCHOLOGY, BIOLOGICAL",VIROLOGY,"PSYCHOLOGY, EXPERIMENTAL",MINING & MINERAL PROCESSING,ART,INFORMATION SCIENCE & LIBRARY SCIENCE,"ENGINEERING, GEOLOGICAL","ENGINEERING, MARINE",AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,LINGUISTICS,PRIMARY HEALTH CARE,"ENGINEERING, PETROLEUM","FILM, RADIO, TELEVISION",ETHNIC STUDIES,ARCHITECTURE,CRIMINOLOGY & PENOLOGY,"MEDICINE, LEGAL",PARASITOLOGY,ORNITHOLOGY,INTEGRATIVE & COMPLEMENTARY MEDICINE,THEATER,RELIGION,HISTORY OF SOCIAL SCIENCES,LITERATURE,LOGIC,LANGUAGE & LINGUISTICS,LITERARY THEORY & CRITICISM,LITERARY REVIEWS,FOLKLORE,CLASSICS,MUSIC,MEDIEVAL & RENAISSANCE STUDIES
T2751,FALSE,B,2007,3,0.497130952,23,IND. ENG. CHEM. RES.,2007,2.090909091,Pre,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,22,,,,,,,,,,3,,,1,,,,,,4,,,2,,3,,,,,,,1,,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2081,FALSE,ERROR,ERROR,3,0.390930769,61,J. NEURAL ENG.,2006,5.083333333,ERROR,10,,,,,1,,,,,8,,,1,30,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2058,FALSE,D,2010,4,0.351003472,24,J. HYDROL.,2012,4,Post,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,2,,,,,,,,,,,,,,,,,1,,,1,6,,,,,,,,,16,1,1,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1069,TRUE,B,2007,3,0.290488333,1,MICROPOROUS MESOPOROUS MAT.,2017,1,Post,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,29,17,,7,21,,1,2,,,,,1,34,1,,1,,3,,,,,1,1,5,,3,,,,,,,,,,,,,3,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2013,FALSE,B,2007,3,0.149789063,20,J. MATER. RES.,2007,1.818181818,Pre,4,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,23,23,11,2,14,11,,1,,,,,,,16,,,3,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2582,FALSE,B,2007,4,0.139609756,2,J. MATER. RES.,2011,0.285714286,Post,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,26,17,5,11,8,,1,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2405,FALSE,C,2009,4,0.712666667,3,APPL. PHYS. LETT.,2006,0.25,Pre,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,,,,,4,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3183,FALSE,C,2009,3,0.080733333,0,MRS ADV.,2017,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,,2,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1486,FALSE,ERROR,ERROR,9,0.31482963,3,J. VAC. SCI. TECHNOL. B,2014,0.75,ERROR,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,8,5,2,3,2,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1123,FALSE,C,2009,9,0.199042553,75,J. AM. CHEM. SOC.,2008,7.5,Pre,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,6,,5,11,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T178,FALSE,C,2009,10,0.215917553,13,ACS NANO,2013,2.6,Post,7,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25,13,2,15,38,,1,,,,,,5,39,9,1,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2258,FALSE,E,2011,3,0.22759176,11,LANGMUIR,2016,5.5,Post,2,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,6,,5,13,,,1,,,,,2,25,2,1,3,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T487,FALSE,C,2009,12,0.204399399,50,NANO LETT.,2009,5.555555556,Pre,1,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,21,13,,15,10,,,,,,,,,15,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1709,FALSE,C,2009,3,0.511134409,7,J. MICROELECTROMECH. SYST.,2012,1.166666667,Post,1,,,,1,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,1,18,2,,,4,,1,,,,,,,18,,,,,,,,,,,1,1,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T548,FALSE,C,2009,6,0.364955556,5,NANOTECHNOLOGY,2013,1,Post,1,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,2,,4,,12,,,,,,,4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3306,FALSE,ERROR,ERROR,7,0.16104,0,NANO ENERGY,2016,0,ERROR,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,13,,5,10,3,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T784,FALSE,ERROR,ERROR,10,0.366346491,7,J. NANOELECTRON. OPTOELECTRON.,2006,0.583333333,ERROR,9,1,1,,3,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,19,18,,24,15,1,,,,,,,3,17,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1280,FALSE,C,2009,5,0,0,ABSTR. PAP. AM. CHEM. SOC.,2012,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T928,TRUE,C,2009,1,0,0,ABSTR. PAP. AM. CHEM. SOC.,2012,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1530,FALSE,C,2009,9,0.269302181,2,J. CRYST. GROWTH,2011,0.285714286,Post,,,,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,17,,13,14,1,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1558,FALSE,E,2011,5,0.522617241,15,BIOMATERIALS,2016,7.5,Post,6,,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,,2,3,2,,3,,,,,1,4,5,2,,2,4,3,,,1,,1,,,,,,,,,,1,,21,1,,,,4,,,1,,,3,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,15,14,,4,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T747,TRUE,E,2011,2,0,0,ABSTR. PAP. AM. CHEM. SOC.,2013,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T255,TRUE,B,2007,4,0.472923077,7,CHEM. BIOL. DRUG DES.,2013,1.4,Post,,,,,,,,,,,,7,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,7,,,,,,,1,2,,1,2,,,5,,,,,6,,,,,,,,2,,,,,3,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2562,TRUE,C,2009,1,0,0,ABSTR. PAP. AM. CHEM. SOC.,2007,0,Pre,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1739,FALSE,C,2009,7,0.160556575,107,J. PHYS. CHEM. C,2012,17.83333333,Post,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,23,18,9,,19,10,,,,,,,,3,15,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1081,FALSE,E,2011,7,0.5892,7,BIOMATERIALS,2016,3.5,Post,6,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,,3,,,,1,,,,2,,,,,,,,17,,3,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
T739,FALSE,ERROR,ERROR,13,0.275422764,24,NANOTECHNOLOGY,2013,4.8,ERROR,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,8,1,15,7,,,,,,,,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1932,FALSE,C,2009,8,0.292522556,26,ADV. ENERGY MATER.,2015,8.666666667,Post,1,,,,,,,,,,3,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,,,40,51,34,,24,20,1,,,,,,,2,46,15,,8,,,,,,,,,1,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3360,FALSE,B,2007,4,0.545097222,0,INT. J. POLYM. MATER. POLYM. BIOMAT.,2017,0,Post,6,,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,5,,,1,,,,,,3,5,1,,,2,,,1,,2,,,,,,,,,,,1,,8,,,,,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,1,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T461,FALSE,A,2011,2,0,0,SIGNS,2010,0,Pre,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1699,FALSE,E,2011,4,0.58625974,5,SCI REP,2016,2.5,Post,5,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,3,,,,1,,,,,23,5,2,,1,,1,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1639,FALSE,E,2011,6,0.459179245,0,J. MATER. SCI.-MATER. MED.,2017,0,Post,1,1,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,2,,,1,,,,,1,3,2,1,,,5,4,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
